name,class
clip_1,1
clip_2,1
clip_3,1
clip_4,1
clip_5,1
clip_6,1
clip_7,1
clip_8,1
clip_9,1
clip_10,1
clip_11,1
clip_12,1
clip_13,1
clip_14,1
clip_15,1
clip_16,1
clip_17,1
clip_18,1
clip_19,2
clip_20,2
clip_21,2
clip_22,2
clip_23,2
clip_24,2
clip_25,2
clip_26,2
clip_27,2
clip_28,2
clip_29,2
clip_30,2
clip_31,2
clip_32,2
clip_33,2
clip_34,2
clip_35,2
clip_36,2
clip_37,3
clip_38,3
clip_39,3
clip_40,3
clip_41,3
clip_42,3
clip_43,3
clip_44,3
clip_45,3
clip_46,4
clip_47,4
clip_48,4
clip_49,4
clip_50,4
clip_51,4
clip_52,4
clip_53,4
clip_54,4
clip_55,5
clip_56,5
clip_57,5
clip_58,5
clip_59,5
clip_60,5
